N,P,K,temperature,humidity,ph,rainfall,label
19.1,134.97,200.91,22.59,95.71,5.6,112.25,apple
33.38,145.0,199.34,22.07,83.64,5.9,64.97,grapes
17.32,28.92,32.31,36.68,53.54,5.78,89.36,mango
10.75,14.74,28.22,28.81,94.78,6.34,151.85,coconut
27.97,81.07,15.91,28.46,63.2,6.95,45.38,lentil
19.44,46.94,21.38,28.94,79.51,6.36,53.98,mungbean
109.8,14.93,50.5,28.2,92.03,6.15,23.46,muskmelon
25.17,20.29,29.5,30.38,93.62,6.07,180.11,coconut
23.95,13.37,7.5,21.95,95.34,7.26,115.43,orange
111.07,17.65,48.76,29.28,92.85,6.61,28.57,muskmelon
21.32,21.43,10.21,24.59,90.25,7.31,106.82,orange
14.42,66.81,18.32,20.38,60.42,6.34,141.97,pigeonpeas
28.93,123.31,205.0,22.21,92.37,5.57,107.3,apple
40.59,69.46,78.04,19.3,16.11,7.55,77.14,chickpea
41.67,66.04,18.26,31.62,67.31,7.02,74.29,blackgram
105.69,34.93,33.2,23.99,61.43,6.6,167.17,coffee
31.8,76.21,15.95,17.46,22.8,5.81,114.13,kidneybeans
22.26,13.08,26.15,24.08,96.44,6.25,190.88,coconut
41.17,64.17,81.69,18.46,17.14,7.83,72.05,chickpea
22.96,43.66,19.41,27.3,49.25,6.8,49.48,mothbeans
17.52,46.9,17.03,28.13,49.14,6.13,53.27,mothbeans
24.88,136.63,193.77,22.65,80.38,5.85,73.37,grapes
44.52,70.05,86.45,19.91,16.52,6.81,78.43,chickpea
14.09,13.92,12.42,20.36,92.56,7.09,119.59,orange
18.18,66.87,20.72,22.29,65.33,6.75,39.1,lentil
42.99,55.65,18.69,28.27,68.41,7.42,55.35,blackgram
108.45,78.51,46.63,26.68,80.27,6.4,89.13,banana
28.28,13.34,32.6,28.63,92.85,6.6,179.87,coconut
25.87,15.53,12.35,26.2,93.06,7.2,113.46,orange
69.32,46.0,40.6,24.63,84.43,5.95,197.85,rice
11.15,45.19,13.24,30.55,82.24,7.08,54.08,mungbean
13.63,18.35,31.04,25.82,92.96,5.99,182.0,coconut
22.03,128.89,199.35,24.68,77.2,5.53,67.05,grapes
12.41,32.22,21.17,28.01,50.63,6.95,50.72,mothbeans
24.22,20.35,30.3,29.92,99.6,6.16,157.83,coconut
14.97,65.98,19.07,24.95,22.68,5.42,97.43,kidneybeans
28.16,16.53,29.0,26.88,96.52,6.11,180.94,coconut
27.97,52.07,17.56,28.1,52.4,7.0,62.81,mothbeans
100.9,78.85,42.36,28.11,86.32,6.14,109.47,banana
12.76,16.75,12.73,23.64,93.82,7.44,119.16,orange
114.34,18.83,47.13,24.48,87.22,6.43,41.17,watermelon
106.65,32.25,30.53,24.75,57.5,6.81,162.59,coffee
45.06,70.25,20.56,26.74,65.3,7.24,72.17,blackgram
109.52,20.25,44.84,28.04,93.95,6.41,21.48,muskmelon
99.73,28.78,25.35,26.7,59.62,7.1,158.1,coffee
112.28,17.74,48.41,29.85,92.54,6.25,28.16,muskmelon
15.56,139.7,198.16,23.98,94.72,5.71,118.25,apple
92.27,69.42,45.79,28.89,81.16,5.96,100.53,banana
92.8,44.34,18.74,21.7,59.82,5.92,72.75,maize
101.48,18.87,50.65,30.03,92.99,6.39,27.83,muskmelon
40.5,62.4,24.44,31.98,62.14,6.7,65.49,blackgram
14.89,129.22,190.95,24.11,94.84,5.8,110.61,apple
43.03,69.54,17.68,28.87,60.3,7.64,67.88,blackgram
20.75,50.18,20.02,24.03,54.0,8.13,48.32,mothbeans
103.08,15.63,54.49,24.27,86.17,6.04,51.82,watermelon
91.42,103.78,53.38,29.05,81.88,5.52,107.76,banana
96.9,17.62,44.81,27.82,88.77,6.44,48.78,watermelon
23.02,61.82,15.56,30.72,58.93,6.22,59.26,mothbeans
69.92,33.9,38.24,23.64,87.33,6.53,230.72,rice
31.53,14.93,26.17,24.79,96.95,5.9,171.13,coconut
18.51,29.6,27.28,31.55,51.3,5.21,98.35,mango
28.24,132.69,195.68,28.57,80.02,5.35,71.43,grapes
22.32,13.06,41.52,20.17,89.19,6.55,110.63,pomegranate
15.3,61.23,21.79,18.2,22.76,5.43,118.62,kidneybeans
21.6,121.6,196.58,23.77,82.05,6.58,69.93,grapes
65.08,41.94,47.51,24.12,86.32,6.33,159.0,jute
88.3,41.01,40.36,22.64,83.74,6.53,262.14,rice
110.81,43.43,21.72,25.63,79.51,6.87,84.11,cotton
23.79,46.53,24.12,27.77,88.37,6.69,44.75,mungbean
36.58,59.25,19.3,27.52,68.8,7.07,66.73,blackgram
21.0,81.47,29.33,21.31,21.14,5.81,119.21,kidneybeans
78.84,44.89,32.61,22.16,80.92,6.82,244.79,rice
24.39,136.34,197.84,24.5,79.58,6.39,67.06,grapes
14.89,129.9,198.99,20.85,95.24,5.5,122.12,apple
21.53,24.36,47.35,21.31,84.35,6.15,104.94,pomegranate
26.55,68.64,20.24,29.09,42.93,5.82,106.45,pigeonpeas
67.96,42.85,23.71,25.13,67.64,5.87,81.0,maize
92.95,42.07,17.03,17.02,62.64,5.8,104.5,maize
23.99,128.53,197.72,20.38,87.72,5.57,101.71,apple
21.25,77.0,20.94,26.18,50.84,5.57,135.61,pigeonpeas
20.68,17.25,33.99,28.37,96.2,6.22,172.93,coconut
23.03,77.12,21.57,27.46,61.73,6.24,160.97,pigeonpeas
51.09,56.61,52.82,34.52,92.61,7.01,155.85,papaya
54.15,60.57,44.33,32.54,91.27,6.61,116.52,papaya
45.63,54.14,76.19,17.75,14.92,7.63,78.55,chickpea
27.34,13.91,10.2,20.54,93.89,6.78,109.82,orange
94.96,51.58,39.72,24.16,78.92,7.38,239.43,rice
15.61,16.94,11.38,23.23,95.41,7.18,116.9,orange
16.76,50.13,18.89,23.68,66.36,6.84,44.1,lentil
25.25,25.68,28.79,34.03,55.79,6.06,90.77,mango
115.05,79.96,48.17,28.11,77.21,6.31,96.15,banana
125.69,59.81,49.28,29.99,80.77,6.23,105.4,banana
69.7,30.72,38.73,26.25,77.46,7.34,170.95,jute
17.56,131.93,198.32,18.57,80.17,5.94,69.14,grapes
58.89,58.08,46.18,28.31,90.06,6.87,136.19,papaya
23.49,141.75,200.88,25.1,91.94,6.09,118.33,apple
30.82,128.94,205.0,26.48,81.51,5.46,69.52,grapes
94.48,15.12,43.13,25.62,85.04,6.7,51.14,watermelon
134.71,46.32,14.51,24.56,77.71,7.25,85.97,cotton
25.69,79.67,22.94,20.27,19.58,5.53,113.74,kidneybeans
109.7,22.95,54.02,28.21,82.43,6.25,44.86,watermelon
16.38,76.66,23.13,29.16,47.32,6.09,135.36,pigeonpeas
13.89,63.86,20.48,21.51,58.83,6.05,49.3,lentil
93.46,15.58,49.06,26.82,92.47,6.65,25.11,muskmelon
103.97,79.47,51.26,28.06,82.9,6.38,105.22,banana
16.41,56.28,19.07,24.59,65.44,7.44,44.52,lentil
18.25,143.02,200.79,21.81,93.91,5.65,113.37,apple
19.47,73.28,18.69,16.89,25.97,5.98,86.52,kidneybeans
18.33,24.83,30.98,29.74,51.6,5.27,93.27,mango
93.28,45.35,19.39,20.95,61.14,6.01,70.11,maize
25.1,11.53,8.05,23.49,90.75,8.35,114.11,orange
26.75,26.72,25.98,29.99,44.99,5.35,97.03,mango
24.52,14.26,26.26,27.29,92.99,6.24,190.36,coconut
88.7,56.49,42.07,27.35,79.98,5.9,191.73,rice
13.44,17.09,7.09,24.61,93.46,6.34,121.35,orange
101.63,23.36,26.51,25.53,57.28,6.41,127.61,coffee
128.24,56.46,23.23,24.69,82.51,6.55,86.61,cotton
22.89,69.0,21.28,28.26,55.77,5.32,135.96,pigeonpeas
39.64,63.29,17.3,28.2,62.94,7.33,66.47,blackgram
92.37,20.45,54.85,27.41,91.32,6.29,32.6,muskmelon
25.18,57.36,17.48,30.12,78.99,6.34,42.65,mungbean
84.73,30.42,27.49,23.31,55.56,6.96,180.76,coffee
101.9,41.34,35.8,22.4,75.93,6.19,217.22,rice
101.5,19.05,50.94,29.15,93.17,6.05,26.61,muskmelon
39.14,72.21,46.14,33.13,93.02,6.64,136.8,papaya
53.27,54.54,46.71,37.01,92.34,6.76,136.47,papaya
14.14,37.8,21.14,28.18,86.64,6.91,49.99,mungbean
25.5,131.38,201.28,23.11,83.57,5.54,68.15,grapes
28.25,28.68,28.23,28.07,51.59,5.75,104.14,mango
24.41,50.41,21.39,28.5,86.74,7.18,46.69,mungbean
41.81,73.13,86.13,18.75,16.39,6.95,73.48,chickpea
79.08,49.9,16.17,19.7,69.41,6.19,92.98,maize
25.24,35.1,31.13,30.73,53.81,6.38,91.82,mango
15.24,10.36,45.56,20.43,93.01,6.72,99.78,pomegranate
21.89,14.51,37.98,27.15,97.39,5.53,166.16,coconut
21.35,17.44,29.45,30.69,45.42,5.43,99.56,mango
68.65,63.02,16.44,23.17,67.74,6.32,82.58,maize
19.16,17.75,31.47,28.45,95.72,6.0,164.25,coconut
21.04,49.85,16.71,26.44,62.19,6.36,64.45,mothbeans
100.48,87.0,50.77,29.36,80.18,5.94,109.34,banana
26.73,19.06,24.05,29.38,94.99,6.12,160.13,coconut
70.09,43.04,40.5,22.59,77.65,6.43,209.64,rice
17.66,64.0,16.83,30.76,46.55,5.98,138.09,pigeonpeas
83.24,27.34,29.23,25.37,59.04,6.84,114.62,coffee
46.42,66.79,75.59,18.66,15.31,7.03,78.94,chickpea
23.54,19.52,29.6,31.42,93.59,6.52,174.6,coconut
21.99,59.01,21.0,27.31,36.65,5.37,141.23,pigeonpeas
46.03,54.47,52.61,29.95,95.17,6.85,143.01,papaya
106.21,17.23,53.15,29.08,91.45,6.38,24.26,muskmelon
17.4,41.08,21.9,27.31,82.65,6.27,45.5,mungbean
77.63,43.6,40.41,28.23,76.7,6.67,195.88,rice
110.09,30.11,31.7,27.79,58.3,6.47,181.52,coffee
32.7,59.65,21.33,29.94,64.55,6.97,65.97,blackgram
24.94,18.35,41.4,23.47,88.52,6.66,91.25,pomegranate
28.08,129.5,198.97,25.86,95.19,5.4,115.41,apple
95.47,12.24,49.37,26.35,90.62,6.14,48.67,watermelon
46.14,71.74,83.89,18.07,15.16,7.3,78.74,chickpea
93.12,10.84,51.64,25.69,86.87,6.43,48.65,watermelon
108.21,81.77,55.46,28.39,77.93,5.69,111.14,banana
99.07,27.67,31.73,24.91,66.17,6.86,152.34,coffee
96.73,28.61,29.31,28.12,54.4,6.61,123.61,coffee
24.78,60.63,18.61,21.02,23.56,5.65,96.94,kidneybeans
29.28,49.35,18.96,24.98,51.89,6.6,58.88,mothbeans
81.32,18.85,51.59,24.39,80.61,6.96,57.87,watermelon
37.65,60.38,16.12,29.15,67.68,7.38,64.82,blackgram
89.0,74.02,52.75,26.73,77.84,5.81,110.19,banana
110.9,40.37,21.0,25.54,82.62,7.2,79.33,cotton
16.3,73.73,23.11,16.41,19.28,5.4,96.15,kidneybeans
66.77,46.2,14.99,23.4,67.79,6.06,103.69,maize
94.83,13.95,48.38,28.31,92.84,6.45,22.22,muskmelon
24.17,16.36,12.59,23.47,89.23,7.58,103.87,orange
19.99,25.47,31.7,22.63,95.44,6.48,117.4,pomegranate
81.3,55.21,20.72,21.75,64.41,6.18,84.35,maize
116.43,20.54,53.84,29.04,90.07,6.39,27.61,muskmelon
27.91,133.95,198.24,30.24,81.67,6.35,68.0,grapes
49.83,64.72,52.8,34.13,90.32,6.41,144.73,papaya
100.89,14.02,48.82,30.27,92.94,6.4,30.39,muskmelon
15.01,14.7,10.06,21.75,94.01,7.09,116.85,orange
109.46,16.61,49.23,28.44,90.74,6.31,23.89,muskmelon
82.95,46.14,37.06,25.88,82.54,6.04,165.01,jute
20.7,137.85,205.0,21.54,77.74,5.4,69.0,grapes
84.15,53.55,44.75,24.28,76.29,6.68,161.71,jute
45.1,48.28,38.7,23.42,80.71,7.05,167.66,jute
97.6,32.28,30.17,25.31,57.0,6.85,176.04,coffee
115.1,42.44,20.25,24.02,79.73,7.07,76.96,cotton
24.7,18.03,41.07,24.38,89.77,6.0,120.36,pomegranate
110.78,53.24,16.45,22.14,79.65,6.59,73.32,cotton
19.08,67.2,15.41,21.13,23.03,5.69,122.77,kidneybeans
25.91,15.63,9.05,20.81,91.72,6.83,114.38,orange
104.88,23.4,29.38,24.19,60.33,6.9,166.76,coffee
25.73,75.07,16.06,21.34,24.92,5.78,122.26,kidneybeans
14.3,128.24,196.17,23.56,80.31,6.22,68.45,grapes
23.03,139.75,205.0,19.6,81.64,5.65,75.97,grapes
42.94,72.08,85.55,19.51,16.32,7.57,95.3,chickpea
18.2,24.68,34.91,29.25,52.77,5.58,91.94,mango
20.39,15.81,39.08,18.99,89.83,6.73,111.61,pomegranate
66.01,54.52,54.02,32.33,90.33,6.72,155.58,papaya
11.15,78.23,15.73,19.57,20.53,5.82,81.93,kidneybeans
106.71,24.86,24.91,26.5,65.88,6.5,180.1,coffee
22.29,20.1,43.5,21.47,93.1,6.4,107.85,pomegranate
18.63,57.66,17.24,29.66,86.57,7.08,44.4,mungbean
45.3,50.97,47.41,32.54,87.76,6.66,161.09,papaya
24.95,64.3,19.87,20.22,23.72,5.25,96.8,kidneybeans
20.25,52.61,18.18,28.93,54.76,5.67,67.32,mothbeans
24.12,20.56,29.74,25.32,96.91,6.43,191.87,coconut
19.62,56.64,25.07,24.09,67.59,6.57,47.24,lentil
13.41,15.2,42.4,20.33,89.35,5.91,108.62,pomegranate
19.79,25.41,31.97,30.21,55.78,6.39,89.35,mango
11.81,70.32,16.26,28.78,66.9,6.74,41.97,lentil
31.9,79.88,20.16,27.09,63.33,7.13,78.03,blackgram
112.66,88.11,56.91,26.7,76.54,5.85,106.27,banana
91.43,17.37,52.66,27.04,80.73,6.43,53.03,watermelon
120.33,70.32,54.77,28.41,75.25,6.81,104.09,banana
103.88,21.6,51.88,27.82,86.82,6.82,49.18,watermelon
20.27,17.83,8.41,21.42,92.9,7.14,114.05,orange
72.11,55.31,22.05,27.02,67.54,6.09,91.89,maize
16.16,74.89,19.78,23.31,59.58,6.54,37.49,lentil
86.36,89.74,51.6,28.98,81.37,6.04,90.79,banana
23.44,64.79,19.86,20.15,16.8,5.7,95.55,kidneybeans
54.61,60.87,47.41,31.5,89.62,6.53,181.84,papaya
9.3,52.0,19.83,30.3,82.21,5.75,50.07,mungbean
25.97,15.98,30.25,28.01,91.28,6.17,149.47,coconut
122.93,41.97,20.21,22.24,84.35,6.27,90.26,cotton
16.27,18.41,44.24,28.86,86.99,6.53,103.25,pomegranate
42.97,54.15,50.19,33.97,95.59,6.78,88.45,papaya
84.86,50.98,17.1,22.28,65.19,5.85,102.84,maize
135.08,48.31,17.62,25.34,81.5,6.91,82.53,cotton
23.07,145.0,201.94,21.55,89.06,5.57,113.21,apple
28.99,131.13,196.33,26.67,84.86,5.65,64.78,grapes
104.44,22.74,33.38,26.99,60.83,7.21,166.24,coffee
85.71,31.88,30.19,26.91,56.36,6.99,173.29,coffee
99.64,14.75,49.0,25.6,81.07,6.36,52.74,watermelon
57.47,55.85,41.95,25.81,75.83,6.92,178.93,jute
40.69,70.23,12.54,27.5,68.65,7.19,66.92,blackgram
16.43,21.41,28.6,33.91,50.11,6.05,104.69,mango
120.0,35.46,17.34,23.37,80.42,6.74,72.1,cotton
83.61,57.77,39.82,26.73,74.44,6.73,238.38,rice
25.02,13.98,8.11,21.88,90.26,7.23,102.37,orange
27.61,132.88,203.47,22.49,84.58,6.09,66.88,grapes
35.34,68.05,17.28,31.22,69.21,7.28,77.51,blackgram
17.57,48.49,18.08,27.89,83.44,6.27,49.28,mungbean
82.35,20.16,42.83,25.9,87.86,6.06,46.18,watermelon
89.78,49.34,20.14,19.0,68.19,6.39,110.76,maize
8.71,66.94,22.58,22.27,63.25,6.83,31.2,lentil
21.62,76.15,16.79,21.46,24.58,5.34,110.69,kidneybeans
28.94,135.23,193.51,16.24,82.27,5.94,65.69,grapes
80.05,45.36,32.92,22.76,81.27,6.08,232.17,rice
18.03,19.78,9.67,19.89,96.55,6.27,105.33,orange
37.28,72.57,84.78,19.03,19.76,6.84,78.55,chickpea
21.76,144.62,205.0,20.46,78.98,6.38,65.06,grapes
102.24,17.71,50.81,27.32,91.24,6.4,24.12,muskmelon
16.48,139.74,198.88,22.02,90.67,5.67,114.94,apple
13.42,61.97,23.53,27.05,63.35,7.24,47.41,lentil
19.1,50.37,22.08,29.67,48.27,6.63,60.76,mothbeans
18.29,49.67,18.47,26.51,50.28,6.51,54.08,mothbeans
75.41,47.81,17.2,21.29,61.66,6.15,105.34,maize
38.41,50.97,83.18,17.04,16.92,7.41,90.99,chickpea
19.83,17.42,37.2,22.48,88.74,6.95,99.88,pomegranate
98.13,15.35,44.52,24.57,85.79,6.6,51.54,watermelon
14.2,16.94,11.14,20.49,95.24,6.87,121.21,orange
13.14,57.65,22.48,30.38,50.89,6.71,39.73,mothbeans
84.28,48.36,22.2,22.2,65.51,5.6,95.8,maize
25.48,73.83,24.42,26.19,46.72,4.98,141.65,pigeonpeas
12.77,14.78,35.47,23.79,88.35,6.44,105.22,pomegranate
29.68,72.64,19.27,25.13,55.48,5.32,182.07,pigeonpeas
24.67,133.81,205.0,26.71,78.66,5.64,71.92,grapes
20.79,41.42,15.57,26.72,59.16,7.37,53.14,mothbeans
24.92,79.3,21.69,18.34,26.57,5.59,100.87,kidneybeans
23.5,64.89,19.69,28.99,49.51,6.91,54.88,mothbeans
75.27,47.46,46.44,23.34,80.31,6.83,182.6,jute
17.06,136.53,201.35,22.34,93.57,5.59,116.97,apple
119.43,48.37,15.93,20.58,77.34,7.48,83.07,cotton
20.15,61.05,19.46,20.84,57.72,7.05,43.78,lentil
90.75,33.35,29.46,25.56,52.88,7.11,169.39,coffee
105.73,69.82,53.19,26.57,80.44,5.97,94.43,banana
30.1,145.0,200.74,25.33,82.4,6.16,69.12,grapes
12.82,45.92,19.15,29.44,85.64,6.89,52.62,mungbean
52.85,68.26,53.07,38.87,90.41,6.76,145.7,papaya
66.98,46.03,25.39,24.0,62.92,6.37,101.59,maize
100.89,29.6,34.05,26.35,59.7,6.51,170.18,coffee
96.38,19.8,50.45,26.44,79.88,5.32,52.22,watermelon
5.74,66.39,15.11,30.71,52.76,6.03,179.92,pigeonpeas
42.3,75.37,13.97,30.72,63.99,7.13,70.55,blackgram
12.91,43.52,22.1,28.2,84.11,6.71,37.93,mungbean
36.5,47.49,79.33,21.03,18.65,7.69,89.99,chickpea
16.53,74.11,18.35,27.41,44.29,6.67,143.08,pigeonpeas
81.09,52.08,42.41,24.05,79.93,6.59,283.25,rice
90.87,28.21,28.43,27.4,56.81,6.79,167.22,coffee
101.42,27.33,32.58,23.6,60.46,6.55,148.9,coffee
78.87,44.87,20.58,25.08,61.09,6.24,76.4,maize
16.38,13.61,8.95,18.7,90.63,7.78,115.65,orange
100.93,15.51,46.45,29.44,93.99,6.52,29.25,muskmelon
23.0,133.6,205.0,24.06,93.13,5.92,117.3,apple
45.65,54.8,50.34,32.86,91.95,6.97,173.36,papaya
39.88,69.52,15.66,29.46,67.54,6.63,69.01,blackgram
90.47,22.2,51.74,25.73,84.45,6.59,52.2,watermelon
36.45,66.79,81.4,17.69,17.65,7.11,79.98,chickpea
5.95,15.82,9.08,19.61,91.09,6.77,110.16,orange
17.88,14.25,36.91,24.41,90.44,6.23,110.56,pomegranate
49.9,60.92,49.58,28.82,93.53,7.08,150.78,papaya
18.93,126.79,197.23,20.33,93.4,5.88,100.76,apple
16.56,77.32,22.09,19.21,20.4,5.76,112.85,kidneybeans
19.71,56.87,18.93,21.88,23.04,5.8,106.65,kidneybeans
105.11,21.17,52.08,25.72,82.24,6.66,61.58,watermelon
79.81,46.05,47.19,23.48,85.81,6.71,147.27,jute
19.81,26.32,30.57,28.33,49.52,6.1,98.55,mango
17.76,18.05,44.68,24.35,89.67,6.73,109.65,pomegranate
40.64,65.08,21.26,28.67,64.87,7.46,69.85,blackgram
107.95,48.84,22.32,24.28,77.4,7.08,77.18,cotton
21.67,77.31,21.95,17.09,24.23,5.5,100.14,kidneybeans
17.43,21.66,22.72,27.19,97.14,5.97,168.41,coconut
71.92,43.49,44.58,24.26,80.71,6.61,238.63,rice
19.03,68.79,19.96,26.8,68.88,6.66,42.62,lentil
82.52,49.57,24.09,22.71,63.48,6.24,91.32,maize
39.21,67.61,78.88,17.92,17.14,7.48,71.38,chickpea
92.59,22.0,50.87,29.39,89.3,6.64,28.6,muskmelon
22.17,18.05,8.48,24.67,94.45,6.96,124.51,orange
22.23,18.53,40.32,21.43,93.13,6.03,111.15,pomegranate
41.6,71.07,72.09,20.24,15.83,7.36,93.0,chickpea
25.49,61.69,20.92,24.28,69.83,7.06,44.53,lentil
70.24,60.61,19.88,18.82,65.71,6.0,94.89,maize
23.57,59.02,22.19,20.13,19.22,5.62,116.19,kidneybeans
28.62,18.85,31.52,28.32,94.0,5.98,159.46,coconut
75.53,19.2,56.18,28.74,90.24,6.3,30.01,muskmelon
105.27,17.02,52.37,24.63,89.87,6.8,44.08,watermelon
26.63,39.56,21.76,26.73,46.12,6.93,59.28,mothbeans
70.47,44.88,14.33,21.27,55.5,5.72,93.92,maize
82.6,55.57,22.5,23.55,64.92,5.7,89.96,maize
31.54,46.91,19.68,30.19,61.72,5.82,36.91,mothbeans
30.62,62.77,83.97,17.02,17.39,6.76,83.83,chickpea
46.28,65.15,15.18,31.39,64.28,7.11,77.45,blackgram
81.8,55.92,38.85,25.63,82.37,7.4,176.97,jute
58.15,52.36,52.8,30.37,92.71,6.84,129.41,papaya
15.66,72.26,16.55,21.43,22.76,5.35,95.74,kidneybeans
113.02,18.35,53.52,28.61,94.41,6.48,24.74,muskmelon
16.48,16.05,9.33,21.81,92.36,7.02,115.83,orange
44.85,61.56,17.93,28.99,57.92,7.0,72.2,blackgram
21.38,68.57,14.14,22.35,67.49,6.97,51.6,lentil
58.98,51.79,22.28,20.96,54.84,6.04,89.5,maize
12.97,42.09,20.6,28.04,50.3,6.51,56.77,mothbeans
20.26,18.64,37.58,17.7,91.03,6.84,103.95,pomegranate
7.53,42.21,24.89,27.04,47.33,6.68,67.74,mothbeans
95.57,14.23,51.28,25.82,86.37,6.19,42.79,watermelon
104.42,16.91,51.46,25.86,88.57,6.7,51.76,watermelon
16.34,44.8,20.93,29.02,82.81,6.55,54.85,mungbean
77.74,47.47,32.88,22.51,82.63,5.94,245.59,rice
86.78,19.76,49.05,28.08,92.23,6.41,27.38,muskmelon
23.93,66.19,17.38,29.9,52.43,5.34,176.61,pigeonpeas
67.79,48.46,30.2,20.94,82.89,6.7,240.48,rice
100.84,27.56,31.48,26.59,52.26,6.83,201.95,coffee
22.4,46.78,18.42,30.27,46.09,6.22,48.02,mothbeans
43.71,83.46,80.1,17.81,16.43,7.85,74.93,chickpea
133.71,82.73,53.15,24.73,84.91,6.23,100.73,banana
20.04,46.05,19.51,28.62,48.23,6.19,40.09,mothbeans
40.76,82.51,75.0,17.88,17.83,7.37,82.91,chickpea
14.64,72.89,23.75,23.71,63.83,7.49,48.23,lentil
97.78,17.99,53.2,26.33,84.2,6.6,53.2,watermelon
25.8,22.48,31.26,31.17,49.03,6.15,99.97,mango
91.75,47.05,42.12,26.92,77.42,6.6,175.04,jute
35.76,62.63,44.76,33.67,91.88,6.83,147.16,papaya
20.6,75.05,14.69,27.2,64.95,7.34,45.35,lentil
59.84,60.72,43.57,35.47,90.17,6.98,126.14,papaya
103.82,17.53,49.59,26.57,88.9,6.04,47.82,watermelon
37.21,66.15,93.22,16.65,17.31,7.49,88.79,chickpea
17.24,53.88,21.18,26.18,83.88,6.82,53.43,mungbean
102.84,19.79,51.67,27.36,93.6,6.49,21.49,muskmelon
17.43,70.92,25.41,19.72,23.4,5.44,91.55,kidneybeans
17.11,55.41,17.94,27.29,85.73,6.91,47.55,mungbean
52.36,67.36,49.12,32.28,93.57,6.34,137.86,papaya
11.6,69.59,14.26,27.53,39.89,6.79,167.73,pigeonpeas
16.75,48.51,20.04,29.16,51.86,5.7,47.74,mothbeans
104.07,26.27,29.12,27.16,63.17,6.46,130.54,coffee
22.92,51.6,20.58,28.01,87.27,6.9,50.24,mungbean
114.58,18.26,55.42,26.33,79.67,6.89,51.48,watermelon
25.75,127.57,205.0,21.49,84.76,6.06,70.61,grapes
40.52,58.42,65.39,19.55,18.61,6.35,72.02,chickpea
98.07,20.53,44.95,26.24,80.19,6.25,44.74,watermelon
20.8,27.42,26.02,32.59,52.41,6.07,100.38,mango
19.21,14.25,9.04,22.89,92.42,6.82,108.59,orange
18.31,19.65,9.79,20.22,93.56,6.88,114.84,orange
73.0,48.5,39.44,23.16,84.14,6.7,222.94,rice
77.55,41.72,35.55,21.97,82.07,6.54,243.12,rice
13.35,114.88,198.9,24.54,79.09,5.67,71.85,grapes
87.5,44.25,23.95,22.89,73.5,5.99,105.63,maize
26.26,45.31,17.92,24.26,53.72,8.03,53.42,mothbeans
24.18,70.52,17.9,22.12,63.43,6.5,45.94,lentil
119.35,44.74,12.66,23.94,80.71,6.7,71.16,cotton
74.9,45.11,35.11,22.71,83.43,6.7,213.15,rice
26.22,132.5,197.57,21.49,92.19,5.88,114.15,apple
15.37,21.03,9.57,19.79,91.48,6.48,120.54,orange
21.07,119.24,202.36,27.62,82.59,5.75,69.78,grapes
25.01,68.67,15.27,25.69,47.66,5.76,188.95,pigeonpeas
21.49,15.8,30.66,28.35,92.99,5.76,187.39,coconut
95.0,17.43,29.26,24.98,57.9,6.96,173.87,coffee
23.27,20.07,10.11,24.68,90.84,7.12,119.81,orange
16.54,10.29,9.12,19.39,92.66,6.74,118.28,orange
18.33,65.43,22.93,21.94,18.49,5.71,95.26,kidneybeans
132.99,45.05,17.8,22.49,78.34,6.08,74.6,cotton
98.19,19.18,48.59,26.59,78.03,6.19,55.7,watermelon
108.96,74.55,50.17,28.43,74.2,6.64,102.33,banana
128.61,78.98,44.84,26.79,80.44,6.17,99.87,banana
99.18,11.96,46.24,29.68,86.82,6.64,26.26,muskmelon
16.65,17.26,13.35,25.79,92.04,7.27,114.54,orange
21.82,122.7,202.83,21.85,76.51,5.89,73.52,grapes
31.67,45.41,17.08,28.87,83.09,7.14,46.7,mungbean
24.09,82.12,15.24,16.34,26.28,5.78,92.88,kidneybeans
29.17,129.76,204.51,24.42,83.01,6.13,63.18,grapes
74.23,52.85,34.35,24.66,86.62,5.41,216.28,rice
64.85,43.87,44.28,24.03,78.56,6.47,245.83,rice
52.06,59.9,47.55,31.96,92.65,7.19,148.62,papaya
20.36,48.44,19.55,30.58,52.78,6.13,48.05,mothbeans
40.6,67.79,22.31,30.57,71.01,6.8,68.62,blackgram
81.5,49.39,49.38,25.5,80.57,6.04,248.5,rice
25.15,49.81,20.22,29.08,86.47,7.09,56.17,mungbean
22.96,63.91,19.31,18.11,15.19,5.66,142.09,kidneybeans
33.81,64.42,23.06,29.93,60.16,7.48,72.19,blackgram
17.54,48.64,14.67,27.68,82.22,6.74,54.37,mungbean
62.37,49.27,38.07,22.25,84.14,6.81,259.48,rice
11.68,61.42,20.83,28.79,64.41,7.03,50.46,lentil
89.28,78.39,45.93,26.17,76.54,5.73,115.96,banana
22.73,57.94,23.64,20.62,20.68,5.73,79.26,kidneybeans
86.28,46.91,35.51,23.75,80.27,6.79,232.52,rice
51.81,51.87,58.23,32.05,93.81,6.85,139.81,papaya
70.75,48.18,21.55,20.59,65.95,5.97,77.46,maize
22.76,63.98,20.79,20.69,21.01,5.54,95.54,kidneybeans
86.35,88.84,51.06,29.37,80.35,5.74,102.89,banana
34.0,62.96,84.2,19.72,16.32,7.15,76.97,chickpea
55.35,62.49,80.92,21.21,20.81,8.12,89.77,chickpea
18.54,31.32,29.14,32.28,49.8,5.78,92.44,mango
119.26,17.25,50.9,28.52,90.66,6.72,23.12,muskmelon
